"keys"	"values"
"hamlet"	491
"lord"	225
"king"	205
"will"	171
"horatio"	165
"claudius"	123
"queen"	120
"laertes"	117
"polonius"	116
"shall"	115
"good"	110
"thou"	108
"let"	106
"come"	105
"now"	98
"gertrude"	98
"ophelia"	89
"thy"	86
"like"	85
"ll"	81
"th"	78
"know"	78
"tis"	77
"well"	77
"sir"	76
"rosencrantz"	76
"enter"	74
"go"	71
"may"	70
"father"	69
"love"	69
"us"	68
"hath"	65
"speak"	62
"guildenstern"	62
"first"	61
"must"	60
"man"	60
"thee"	58
"give"	58
"upon"	56
"make"	56
"say"	54
"much"	50
"clown"	50
"think"	49
"one"	49
"marcellus"	47
"time"	47
"see"	47
"ghost"	45
"mother"	45
"heaven"	44
"mine"	44
"tell"	43
"exit"	42
"thus"	42
"yet"	42
"play"	40
"death"	38
"ay"	38
"night"	37
"god"	37
"take"	36
"look"	36
"can"	35
"soul"	35
"osric"	35
"life"	34
"exeunt"	33
"might"	32
"barnardo"	31
"hear"	31
"dead"	31
"whose"	31
"indeed"	31
"heart"	30
"nothing"	30
"made"	30
"hold"	29
"pray"	29
"nature"	29
"player"	29
"doth"	28
"dear"	28
"leave"	28
"er"	27
"matter"	27
"nay"	26
"away"	26
"world"	26
"sweet"	26
"great"	26
"never"	26
"two"	25
"head"	25
"players"	25
"denmark"	24
"true"	24
"though"	24
"second"	24
"speech"	24
"eyes"	23
"part"	23
"comes"	23
"even"	23
"done"	23
"earth"	23
"show"	23
"put"	23
"call"	23
"seen"	22
"son"	22
"within"	22
"set"	22
"madness"	22
"mad"	22
"fear"	21
"fair"	21
"day"	21
"fortinbras"	21
"old"	21
"follow"	21
"words"	21
"aside"	21
"england"	21
"friends"	20
"thing"	20
"still"	20
"till"	20
"poor"	20
"means"	20
"believe"	19
"without"	19
"hand"	19
"blood"	19
"sword"	19
"young"	18
"find"	18
"body"	18
"ear"	18
"else"	18
"keep"	18
"many"	18
"reynaldo"	18
"since"	18
"prince"	17
"stand"	17
"long"	17
"farewell"	17
"welcome"	17
"art"	17
"daughter"	17
"thoughts"	17
"little"	17
"noble"	17
"makes"	17
"end"	17
"cause"	17
"question"	16
"majesty"	16
"use"	16
"faith"	16
"youth"	16
"marry"	16
"fortune"	16
"live"	15
"haste"	15
"watch"	15
"therefore"	15
"mark"	15
"goes"	15
"hast"	15
"brother"	15
"bear"	15
"eye"	15
"better"	15
"thine"	15
"tongue"	15
"drink"	15
"said"	15
"en"	15
"bed"	14
"last"	14
"gone"	14
"something"	14
"state"	14
"grace"	14
"heard"	14
"spirit"	14
"ever"	14
"reason"	14
"mind"	14
"ere"	14
"men"	14
"grave"	14
"rest"	14
"lady"	14
"dost"	14
"lines"	14
"sings"	14
"answer"	13
"st"	13
"form"	13
"air"	13
"duty"	13
"grief"	13
"kind"	13
"friend"	13
"sense"	13
"saw"	13
"act"	13
"none"	13
"virtue"	13
"murder"	13
"sent"	13
"ho"	13
"swear"	13
"gentleman"	13
"tonight"	12
"together"	12
"norway"	12
"thought"	12
"voice"	12
"oft"	12
"fire"	12
"twere"	12
"purpose"	12
"madam"	12
"remember"	12
"name"	12
"gentlemen"	12
"hands"	12
"ye"	12
"three"	12
"sleep"	12
"please"	12
"bring"	12
"fit"	12
"revenge"	12
"help"	12
"passion"	12
"additional"	12
"honest"	11
"peace"	11
"stay"	11
"work"	11
"full"	11
"far"	11
"business"	11
"uncle"	11
"things"	11
"best"	11
"excellent"	11
"face"	11
"fellow"	11
"word"	11
"honour"	11
"foul"	11
"deed"	11
"way"	11
"wind"	11
"free"	11
"mean"	11
"ring"	11
"damned"	11
"alas"	11
"villain"	11
"right"	11
"ha"	11
"another"	11
"thousand"	11
"fall"	11
"francisco"	10
"thanks"	10
"ground"	10
"arms"	10
"walk"	10
"takes"	10
"memory"	10
"late"	10
"doubt"	10
"news"	10
"alone"	10
"seem"	10
"hell"	10
"neither"	10
"given"	10
"phrase"	10
"command"	10
"action"	10
"aught"	10
"sure"	10
"offence"	10
"fine"	10
"pyrrhus"	10
"husband"	10
"lie"	10
"devil"	10
"captain"	10
"skull"	10
"get"	9
"meet"	9
"place"	9
"sight"	9
"ears"	9
"strange"	9
"fell"	9
"soft"	9
"black"	9
"lose"	9
"came"	9
"seek"	9
"breath"	9
"shows"	9
"almost"	9
"near"	9
"judgement"	9
"light"	9
"custom"	9
"draw"	9
"lay"	9
"letters"	9
"age"	9
"thank"	9
"gave"	9
"behind"	9
"noise"	9
"hour"	8
"says"	8
"sit"	8
"break"	8
"looks"	8
"charge"	8
"pale"	8
"known"	8
"law"	8
"lost"	8
"sea"	8
"wherein"	8
"power"	8
"flourish"	8
"others"	8
"whole"	8
"woe"	8
"sister"	8
"joy"	8
"wife"	8
"valtemand"	8
"less"	8
"sun"	8
"truly"	8
"back"	8
"heavens"	8
"woman"	8
"tears"	8
"fashion"	8
"grow"	8
"service"	8
"shame"	8
"wilt"	8
"stage"	8
"hither"	8
"music"	8
"hope"	8
"gives"	8
"coming"	8
"quick"	8
"conscience"	8
"particular"	7
"list"	7
"sound"	7
"wholesome"	7
"beg"	7
"pardon"	7
"beseech"	7
"dust"	7
"common"	7
"die"	7
"fie"	7
"desire"	7
"obey"	7
"rank"	7
"lordship"	7
"top"	7
"enough"	7
"maid"	7
"effect"	7
"every"	7
"understand"	7
"fool"	7
"adieu"	7
"table"	7
"needs"	7
"general"	7
"falls"	7
"receive"	7
"heavy"	7
"loved"	7
"bloody"	7
"turn"	7
"killed"	7
"times"	7
"dies"	7
"messenger"	7
"wager"	7
"drowned"	7
"water"	7
"struck"	6
"cold"	6
"bid"	6
"dane"	6
"piece"	6
"star"	6
"buried"	6
"cast"	6
"sealed"	6
"stood"	6
"hot"	6
"unto"	6
"cock"	6
"wrong"	6
"guilty"	6
"whether"	6
"truth"	6
"season"	6
"gracious"	6
"dumb"	6
"loves"	6
"sorrow"	6
"marriage"	6
"writ"	6
"wouldst"	6
"mouth"	6
"confess"	6
"seems"	6
"note"	6
"health"	6
"beast"	6
"discourse"	6
"longer"	6
"wicked"	6
"prithee"	6
"forth"	6
"whilst"	6
"knew"	6
"yes"	6
"beard"	6
"fare"	6
"withal"	6
"choice"	6
"wisdom"	6
"shot"	6
"beauty"	6
"lies"	6
"double"	6
"dull"	6
"false"	6
"circumstance"	6
"vows"	6
"shape"	6
"days"	6
"prison"	6
"fat"	6
"crown"	6
"wit"	6
"court"	6
"vile"	6
"brain"	6
"already"	6
